TC ID,Module,Test Case Title,Priority,Precondition,Step No,Step Description,Expected Result,Test Data (Excel Column),Type
TC-6.1,Education - Diploma,Select Diploma Path,P0 - Critical,10th data filled,2,Select 'Diploma' option from path selector,Diploma fields become visible. 12th fields hidden,12th-Diploma = Diploma,Positive
TC-6.2,Education - Diploma,Fill Diploma - Valid Data (Percentage),P0 - Critical,Diploma path selected,1,Click State textfield dropdown. Type and select state,State selected,Diploma-State,Positive
TC-6.2,Education - Diploma,Fill Diploma - Valid Data (Percentage),P0 - Critical,Diploma path selected,2,Click City textfield dropdown (cascades from State). Type and select city,City selected,Diploma-City,Positive
TC-6.2,Education - Diploma,Fill Diploma - Valid Data (Percentage),P0 - Critical,Diploma path selected,3,Click College textfield dropdown. Type and select college,College selected,Diploma-College,Positive
TC-6.2,Education - Diploma,Fill Diploma - Valid Data (Percentage),P0 - Critical,Diploma path selected,4,Wait for Institution Name textfield to appear after college selection. Enter institution name,Institution name filled,Diploma-College,Positive
TC-6.2,Education - Diploma,Fill Diploma - Valid Data (Percentage),P0 - Critical,Diploma path selected,5,Click Year textfield dropdown. Select diploma passing year,Year selected,Diploma-Year,Positive
TC-6.2,Education - Diploma,Fill Diploma - Valid Data (Percentage),P0 - Critical,Diploma path selected,6,Click Marks Type dropdown. Select 'Percentage',Percentage option selected,Diploma-markType = Percentage,Positive
TC-6.2,Education - Diploma,Fill Diploma - Valid Data (Percentage),P0 - Critical,Diploma path selected,7,Enter percentage value in Percentage textfield (0-100),Percentage entered,Diploma-percentage,Positive
TC-6.2,Education - Diploma,Fill Diploma - Valid Data (Percentage),P0 - Critical,Diploma path selected,8,Click Degree textfield dropdown. Type and select degree,Degree selected,Diploma-Degree,Positive
TC-6.2,Education - Diploma,Fill Diploma - Valid Data (Percentage),P0 - Critical,Diploma path selected,9,Click Department textfield dropdown. Type and select department,Department selected,Diploma-Department,Positive
TC-6.2,Education - Diploma,Fill Diploma - Valid Data (Percentage),P0 - Critical,Diploma path selected,10,Click Update button,Diploma data saved. Modal closes,N/A,Positive
TC-6.3,Education - Diploma,Fill Diploma - Valid Data (CGPA),P0 - Critical,Diploma path selected,1,Fill State / City / College / Institution / Year as TC-6.2 steps 1-5,Fields filled,Diploma-State / City / College / Year,Positive
TC-6.3,Education - Diploma,Fill Diploma - Valid Data (CGPA),P0 - Critical,Diploma path selected,2,Click Marks Type dropdown. Select 'CGPA',CGPA option selected,Diploma-markType = CGPA,Positive
TC-6.3,Education - Diploma,Fill Diploma - Valid Data (CGPA),P0 - Critical,Diploma path selected,3,Enter CGPA value (must be ≤ scale value),CGPA entered,Diploma-percentage,Positive
TC-6.3,Education - Diploma,Fill Diploma - Valid Data (CGPA),P0 - Critical,Diploma path selected,4,Enter CGPA Scale (Out Of) value,Scale value entered,Diploma-CGPA,Positive
TC-6.3,Education - Diploma,Fill Diploma - Valid Data (CGPA),P0 - Critical,Diploma path selected,5,Fill Degree and Department. Click Update,Diploma data saved with CGPA,Diploma-Degree / Diploma-Department,Positive
TC-7.1,Internship,Add Internship - Valid Data,P0 - Critical,Resume page open,1,Click Internship section icon,Internship modal opens,N/A,Positive
TC-7.1,Internship,Add Internship - Valid Data,P0 - Critical,Resume page open,2,Click 'Add Internship' button,New internship form appears,N/A,Positive
TC-7.1,Internship,Add Internship - Valid Data,P0 - Critical,Resume page open,3,Click Role textfield dropdown. Type and select role,Role selected,Intern-Role,Positive
TC-7.1,Internship,Add Internship - Valid Data,P0 - Critical,Resume page open,4,Click Company textfield dropdown. Type and select company,Company selected,Intern-Company,Positive
TC-7.1,Internship,Add Internship - Valid Data,P0 - Critical,Resume page open,5,Click Function textfield dropdown. Type and select function,Function selected,Intern-Function,Positive
TC-7.1,Internship,Add Internship - Valid Data,P0 - Critical,Resume page open,6,Click Industry textfield dropdown. Type and select industry,Industry selected,Intern-Industry,Positive
TC-7.1,Internship,Add Internship - Valid Data,P0 - Critical,Resume page open,7,If Industry = 'Other': Enter custom industry text in Industry Text textfield,Industry text entered (if applicable),Intern-Text-Industry,Positive
TC-7.1,Internship,Add Internship - Valid Data,P0 - Critical,Resume page open,8,Click Start Date month-year picker. Select year then month,Start date selected (YYYY-MM),Intern-Started,Positive
TC-7.1,Internship,Add Internship - Valid Data,P0 - Critical,Resume page open,9,Click End Date month-year picker. Select year then month (must be ≥ Start Date),End date selected (YYYY-MM),Intern-Ended,Positive
TC-7.1,Internship,Add Internship - Valid Data,P0 - Critical,Resume page open,10,Click Skills multi-select dropdown. Type skill name. Select at least 1 skill,Skill(s) selected,Intern-Skills,Positive
TC-7.1,Internship,Add Internship - Valid Data,P0 - Critical,Resume page open,11,Click Update button,Internship saved. Modal closes,N/A,Positive
TC-8.1,Certificate,Add Certificate - Valid Data,P0 - Critical,Resume page open,1,Click Certificate section icon,Certificate modal opens,N/A,Positive
TC-8.1,Certificate,Add Certificate - Valid Data,P0 - Critical,Resume page open,2,Click 'Add Certification' button,New certificate form appears,N/A,Positive
TC-8.1,Certificate,Add Certificate - Valid Data,P0 - Critical,Resume page open,3,Click Organization/Institute textfield dropdown. Type and select institute,Institute selected,Certificate-Institute,Positive
TC-8.1,Certificate,Add Certificate - Valid Data,P0 - Critical,Resume page open,4,Click Course Title textfield. Enter course name,Course title entered,Certificate-Course,Positive
TC-8.1,Certificate,Add Certificate - Valid Data,P0 - Critical,Resume page open,5,Click Start Date picker. Select start year and month,Start date selected,Certificate-Started,Positive
TC-8.1,Certificate,Add Certificate - Valid Data,P0 - Critical,Resume page open,6,Click End Date picker. Select end year and month (must be ≥ Start Date),End date selected,Certificate-Ended,Positive
TC-8.1,Certificate,Add Certificate - Valid Data,P0 - Critical,Resume page open,7,Click Skills multi-select dropdown. Type and select at least 1 skill,Skill(s) selected,Certificate-Skills,Positive
TC-8.1,Certificate,Add Certificate - Valid Data,P0 - Critical,Resume page open,8,Click Submit button,Certificate saved. Modal closes,N/A,Positive
TC-9.1,Project,Add Project - Valid Data,P0 - Critical,Resume page open,1,Click Project section icon,Project modal opens,N/A,Positive
TC-9.1,Project,Add Project - Valid Data,P0 - Critical,Resume page open,2,Click 'Add Project' button,New project form appears,N/A,Positive
TC-9.1,Project,Add Project - Valid Data,P0 - Critical,Resume page open,3,Click Project Title textfield. Enter project name,Title entered,Project Title,Positive
TC-9.1,Project,Add Project - Valid Data,P0 - Critical,Resume page open,4,Click Company textfield (optional). Enter company name or leave empty,Company entered or skipped,Project-Company,Positive
TC-9.1,Project,Add Project - Valid Data,P0 - Critical,Resume page open,5,Click Start Date picker. Select start year and month,Start date selected,Project-Started,Positive
TC-9.1,Project,Add Project - Valid Data,P0 - Critical,Resume page open,6,Click End Date picker. Select end year and month (must be ≥ Start Date),End date selected,Project-Ended,Positive
TC-9.1,Project,Add Project - Valid Data,P0 - Critical,Resume page open,7,Click Skills multi-select dropdown. Type and select at least 1 skill,Skill(s) selected,Project-Skills,Positive
TC-9.1,Project,Add Project - Valid Data,P0 - Critical,Resume page open,8,Click Submit button,Project saved. Modal closes,N/A,Positive
TC-10.1,Work Experience,Add Work Experience - Valid Data,P0 - Critical,Resume page open,1,Click Work Experience section icon,Work Experience modal opens,N/A,Positive
TC-10.1,Work Experience,Add Work Experience - Valid Data,P0 - Critical,Resume page open,2,Click 'Add Work Experience' button,New work experience form appears,N/A,Positive
TC-10.1,Work Experience,Add Work Experience - Valid Data,P0 - Critical,Resume page open,3,Click Role textfield dropdown. Type and select role,Role selected,Work-Role,Positive
TC-10.1,Work Experience,Add Work Experience - Valid Data,P0 - Critical,Resume page open,4,Click Company textfield dropdown. Type and select company,Company selected,Work-Company,Positive
TC-10.1,Work Experience,Add Work Experience - Valid Data,P0 - Critical,Resume page open,5,Click Function textfield dropdown. Type and select function,Function selected,Work-Function,Positive
TC-10.1,Work Experience,Add Work Experience - Valid Data,P0 - Critical,Resume page open,6,Click Industry textfield dropdown. Type and select industry,Industry selected,Work-Industry,Positive
TC-10.1,Work Experience,Add Work Experience - Valid Data,P0 - Critical,Resume page open,7,If Industry = 'Other': Enter custom industry text in Industry Text textfield,Industry text entered (if applicable),Work-Text-Industry,Positive
TC-10.1,Work Experience,Add Work Experience - Valid Data,P0 - Critical,Resume page open,8,Click Start Date month-year picker. Select year then month,Start date selected,Work-Started,Positive
TC-10.1,Work Experience,Add Work Experience - Valid Data,P0 - Critical,Resume page open,9,Click End Date month-year picker. Select year then month (must be ≥ Start Date),End date selected,Work-Ended,Positive
TC-10.1,Work Experience,Add Work Experience - Valid Data,P0 - Critical,Resume page open,10,Click Employment Type dropdown. Select 'Full-time' or 'Part-time',Employment type selected,N/A,Positive
TC-10.1,Work Experience,Add Work Experience - Valid Data,P0 - Critical,Resume page open,11,Click Job Title textfield. Enter job title,Job title entered,Work-Job-Title,Positive
TC-10.1,Work Experience,Add Work Experience - Valid Data,P0 - Critical,Resume page open,12,Click Skills multi-select dropdown. Type and select at least 1 skill,Skill(s) selected,Work-Skills,Positive
TC-10.1,Work Experience,Add Work Experience - Valid Data,P0 - Critical,Resume page open,13,Click Submit button,Work experience saved. Modal closes,N/A,Positive
TC-11.1,E2E Flow,Complete Resume Onboarding - 12th Path,P0 - Critical,Valid student account,1,Login → Dashboard → My Resume (TC-1.1 + TC-2.1),Resume page loaded,Student-Email-ID / Student-PassWord,E2E
TC-11.1,E2E Flow,Complete Resume Onboarding - 12th Path,P0 - Critical,Valid student account,2,Fill Personal Information (TC-3.1),Personal info saved,Country / State / City / Pincode,E2E
TC-11.1,E2E Flow,Complete Resume Onboarding - 12th Path,P0 - Critical,Valid student account,3,Fill 10th + 12th Education (TC-4.1 + TC-5.2),Education saved,10th + 12th fields,E2E
TC-11.1,E2E Flow,Complete Resume Onboarding - 12th Path,P0 - Critical,Valid student account,4,Fill Internship (TC-7.1),Internship saved,Intern-* fields,E2E
TC-11.1,E2E Flow,Complete Resume Onboarding - 12th Path,P0 - Critical,Valid student account,5,Fill Certificate (TC-8.1),Certificate saved,Certificate-* fields,E2E
TC-11.1,E2E Flow,Complete Resume Onboarding - 12th Path,P0 - Critical,Valid student account,6,Fill Project (TC-9.1),Project saved,Project-* fields,E2E
TC-11.1,E2E Flow,Complete Resume Onboarding - 12th Path,P0 - Critical,Valid student account,7,Fill Work Experience (TC-10.1),Work experience saved. All sections complete,Work-* fields,E2E
TC-11.2,E2E Flow,Complete Resume Onboarding - Diploma Path,P0 - Critical,Valid student account,1,Login → Dashboard → My Resume,Resume page loaded,Student-Email-ID / Student-PassWord,E2E
TC-11.2,E2E Flow,Complete Resume Onboarding - Diploma Path,P0 - Critical,Valid student account,2,Fill Personal Information (TC-3.1),Personal info saved,Country / State / City / Pincode,E2E
TC-11.2,E2E Flow,Complete Resume Onboarding - Diploma Path,P0 - Critical,Valid student account,3,Fill 10th + Diploma Education (TC-4.1 + TC-6.2),Education saved with Diploma,10th + Diploma fields,E2E
TC-11.2,E2E Flow,Complete Resume Onboarding - Diploma Path,P0 - Critical,Valid student account,4,Fill Internship (TC-7.1),Internship saved,Intern-* fields,E2E
TC-11.2,E2E Flow,Complete Resume Onboarding - Diploma Path,P0 - Critical,Valid student account,5,Fill Certificate (TC-8.1),Certificate saved,Certificate-* fields,E2E
TC-11.2,E2E Flow,Complete Resume Onboarding - Diploma Path,P0 - Critical,Valid student account,6,Fill Project (TC-9.1),Project saved,Project-* fields,E2E
TC-11.2,E2E Flow,Complete Resume Onboarding - Diploma Path,P0 - Critical,Valid student account,7,Fill Work Experience (TC-10.1),Work experience saved. All sections complete,Work-* fields,E2E
TC-12.1,UI & Non-Functional,Modal Closes After Save,P1 - High,Any section saved,1,Fill any section with valid data and click Update/Submit,Modal/drawer closes within 3 seconds,N/A,Positive
TC-12.2,UI & Non-Functional,Dashboard Load Time,P1 - High,User logged in,1,Observe time from login redirect to Dashboard visible,Dashboard visible within 15 seconds,N/A,Performance
TC-12.3,UI & Non-Functional,Dropdown Search Functionality,P1 - High,Any dropdown field,1,Click any textfield dropdown. Type partial text,Dropdown filters options matching typed text,N/A,Positive
TC-12.4,UI & Non-Functional,Cascading Dropdown Dependency,P1 - High,Personal Info or Diploma modal,1,Select Country/State. Observe State/City dropdown options,Child dropdown loads options filtered by parent selection,N/A,Positive
TC-12.6,UI & Non-Functional,Data Persistence After Save,P1 - High,Section data saved,1,Save a section. Close modal. Reopen the same section,Previously saved data is displayed correctly,N/A,Positive
