TC ID,Module,Test Case Title,Priority,Precondition,Step No,Step Description,Expected Result,Test Data (Excel Column),Type
TC-6.2,Skill Category - Academics,Add Skill via Academics - Select 12th Only,P0 - Critical,Add Skill page open,3,Click 'Add' button,'Added Successfully' label displayed,N/A,Positive
TC-6.3,Skill Category - Academics,Add Skill via Academics - Select Both 10th and 12th,P0 - Critical,Add Skill page open,1,Click on 'Academics' category,Academics section expands. Two checkboxes: '10th' and '12th',Skill-Category = Academics,Positive
TC-6.3,Skill Category - Academics,Add Skill via Academics - Select Both 10th and 12th,P0 - Critical,Add Skill page open,2,Select both '10th' and '12th' checkboxes,Both checkboxes are checked. Academic skills from both records picked for eligibility,Skill-Academics = Both,Positive
TC-6.3,Skill Category - Academics,Add Skill via Academics - Select Both 10th and 12th,P0 - Critical,Add Skill page open,3,Click 'Add' button,'Added Successfully' label displayed for both selections,N/A,Positive
TC-6.4,Skill Category - Internship,Add Skill via Internship Category,P0 - Critical,Add Skill page open,1,Click on 'Internship' category,Internship section expands. One checkbox is displayed,Skill-Category = Internship,Positive
TC-6.4,Skill Category - Internship,Add Skill via Internship Category,P0 - Critical,Add Skill page open,2,Select the checkbox,Checkbox is checked. Internship skills are picked for eligibility,N/A,Positive
TC-6.4,Skill Category - Internship,Add Skill via Internship Category,P0 - Critical,Add Skill page open,3,Click 'Add' button,'Added Successfully' label displayed,N/A,Positive
TC-6.5,Skill Category - Work Experience,Add Skill via Work Experience Category,P0 - Critical,Add Skill page open,1,Click on 'Work Experience' category,Work Experience section expands. One checkbox is displayed,Skill-Category = Work Experience,Positive
TC-6.5,Skill Category - Work Experience,Add Skill via Work Experience Category,P0 - Critical,Add Skill page open,2,Select the checkbox,Checkbox is checked. Work experience skills are picked for eligibility,N/A,Positive
TC-6.5,Skill Category - Work Experience,Add Skill via Work Experience Category,P0 - Critical,Add Skill page open,3,Click 'Add' button,'Added Successfully' label displayed,N/A,Positive
TC-6.6,Skill Category - Training Course,Add Skill via Training Course Category,P0 - Critical,Add Skill page open,1,Click on 'Training Course' category,Training Course section expands. One checkbox is displayed,Skill-Category = Training Course,Positive
TC-6.6,Skill Category - Training Course,Add Skill via Training Course Category,P0 - Critical,Add Skill page open,2,Select the checkbox,Checkbox is checked. Training course skills are picked for eligibility,N/A,Positive
TC-6.6,Skill Category - Training Course,Add Skill via Training Course Category,P0 - Critical,Add Skill page open,3,Click 'Add' button,'Added Successfully' label displayed,N/A,Positive
TC-6.7,Skill Category - Project,Add Skill via Project Category,P0 - Critical,Add Skill page open,1,Click on 'Project' category,Project section expands. One checkbox is displayed,Skill-Category = Project,Positive
TC-6.7,Skill Category - Project,Add Skill via Project Category,P0 - Critical,Add Skill page open,2,Select the checkbox,Checkbox is checked. Project skills are picked for eligibility,N/A,Positive
TC-6.7,Skill Category - Project,Add Skill via Project Category,P0 - Critical,Add Skill page open,3,Click 'Add' button,'Added Successfully' label displayed,N/A,Positive
TC-6.8,Skill Category - Multi-Select,Add Skill from Multiple Categories (Academics 10th + Work Experience),P0 - Critical,Add Skill page open,1,Click 'Academics' category. Select '10th' checkbox,10th checkbox checked under Academics,Skill-Category = Academics + Work Experience,Positive
TC-6.8,Skill Category - Multi-Select,Add Skill from Multiple Categories (Academics 10th + Work Experience),P0 - Critical,Add Skill page open,2,Click 'Work Experience' category. Select the checkbox,Work Experience checkbox checked,N/A,Positive
TC-6.8,Skill Category - Multi-Select,Add Skill from Multiple Categories (Academics 10th + Work Experience),P0 - Critical,Add Skill page open,3,Click 'Add' button,Both skills submitted together. 'Added Successfully' label displayed,N/A,Positive
TC-6.8,Skill Category - Multi-Select,Add Skill from Multiple Categories (Academics 10th + Work Experience),P0 - Critical,Add Skill page open,4,Click 'Update & Apply' button,Eligibility updated with both skills. User redirected back to Role page,N/A,Positive
TC-6.9,Skill Category - Multi-Select,Add Skill from 3+ Categories (Academics Both + Internship + Project),P1 - High,Add Skill page open,1,Click 'Academics'. Select both '10th' and '12th' checkboxes,Both academic checkboxes checked,Skill-Academics = Both,Positive
TC-6.9,Skill Category - Multi-Select,Add Skill from 3+ Categories (Academics Both + Internship + Project),P1 - High,Add Skill page open,2,Click 'Internship'. Select the checkbox,Internship checkbox checked,N/A,Positive
TC-6.9,Skill Category - Multi-Select,Add Skill from 3+ Categories (Academics Both + Internship + Project),P1 - High,Add Skill page open,3,Click 'Project'. Select the checkbox,Project checkbox checked,N/A,Positive
TC-6.9,Skill Category - Multi-Select,Add Skill from 3+ Categories (Academics Both + Internship + Project),P1 - High,Add Skill page open,4,Click 'Add' button,All selected skills submitted. 'Added Successfully' label displayed,N/A,Positive
TC-7.1,Additional Skill Input,Add New Work Experience Entry via Additional Input,P0 - Critical,Add Skill page open - No existing Work Experience,1,Verify Additional Skill Input Options are visible below category section,Options visible: Add Academics - Add Project - Add Internship - Add Certification - Add Work Experience,N/A,Positive
TC-7.1,Additional Skill Input,Add New Work Experience Entry via Additional Input,P0 - Critical,Add Skill page open - No existing Work Experience,2,Click on 'Add Work Experience',Work Experience page opens with Ant Design form fields (dropdowns and text inputs),N/A,Positive
TC-7.1,Additional Skill Input,Add New Work Experience Entry via Additional Input,P0 - Critical,Add Skill page open - No existing Work Experience,3,Fill in required fields (role - company - duration - skills etc.),All fields filled using Ant Design dropdowns and text fields,N/A,Positive
TC-7.1,Additional Skill Input,Add New Work Experience Entry via Additional Input,P0 - Critical,Add Skill page open - No existing Work Experience,4,Select the checkbox displayed in the form,Checkbox is checked to confirm the entry,N/A,Positive
TC-7.1,Additional Skill Input,Add New Work Experience Entry via Additional Input,P0 - Critical,Add Skill page open - No existing Work Experience,5,Save the entry,Entry saved. User returned to Add Skill page,N/A,Positive
TC-7.1,Additional Skill Input,Add New Work Experience Entry via Additional Input,P0 - Critical,Add Skill page open - No existing Work Experience,6,Verify new entry appears under Work Experience category,New Work Experience entry is now available with a checkbox for selection,N/A,Positive
TC-7.1,Additional Skill Input,Add New Work Experience Entry via Additional Input,P0 - Critical,Add Skill page open - No existing Work Experience,7,Select the new entry checkbox and click 'Add','Added Successfully' label displayed,N/A,Positive
TC-7.2,Additional Skill Input,Add New Academics Entry via Additional Input,P1 - High,Add Skill page open,1,Click on 'Add Academics',Education page opens with 10th and 12th standard fields (Ant Design dropdowns),N/A,Positive
TC-7.2,Additional Skill Input,Add New Academics Entry via Additional Input,P1 - High,Add Skill page open,2,Fill required education fields and save,Entry saved. User returned to Add Skill page,N/A,Positive
TC-7.2,Additional Skill Input,Add New Academics Entry via Additional Input,P1 - High,Add Skill page open,3,Verify new entry appears under Academics category checkboxes,New academic entry available for selection under 10th/12th,N/A,Positive
TC-7.3,Additional Skill Input,Add New Project Entry via Additional Input,P1 - High,Add Skill page open,1,Click on 'Add Project',Project page opens with Ant Design dropdown and text fields,N/A,Positive
TC-7.3,Additional Skill Input,Add New Project Entry via Additional Input,P1 - High,Add Skill page open,2,Fill required project fields and save,Entry saved. User returned to Add Skill page,N/A,Positive
TC-7.3,Additional Skill Input,Add New Project Entry via Additional Input,P1 - High,Add Skill page open,3,Verify new entry appears under Project category,New project entry available for selection,N/A,Positive
TC-7.4,Additional Skill Input,Add New Internship Entry via Additional Input,P1 - High,Add Skill page open,1,Click on 'Add Internship',Internship page opens with Ant Design dropdown and text fields,N/A,Positive
TC-7.4,Additional Skill Input,Add New Internship Entry via Additional Input,P1 - High,Add Skill page open,2,Fill required internship fields and save,Entry saved. User returned to Add Skill page,N/A,Positive
TC-7.4,Additional Skill Input,Add New Internship Entry via Additional Input,P1 - High,Add Skill page open,3,Verify new entry appears under Internship category,New internship entry available for selection,N/A,Positive
TC-7.5,Additional Skill Input,Add New Certification Entry via Additional Input,P1 - High,Add Skill page open,1,Click on 'Add Certification',Certification page opens with Ant Design dropdown and text fields,N/A,Positive
TC-7.5,Additional Skill Input,Add New Certification Entry via Additional Input,P1 - High,Add Skill page open,2,Fill required certification fields and save,Entry saved. User returned to Add Skill page,N/A,Positive
TC-7.5,Additional Skill Input,Add New Certification Entry via Additional Input,P1 - High,Add Skill page open,3,Verify new entry appears under Training Course category,New certification entry available for selection,N/A,Positive
TC-8.1,Role Page (Post Eligibility),Apply for Role After Eligibility Met,P0 - Critical,User back on Role page after eligibility update,1,Verify the user is back on the Role page,Role card is visible. Eligibility shows 'Eligible'. 'Apply' button is now enabled,N/A,Positive
TC-8.1,Role Page (Post Eligibility),Apply for Role After Eligibility Met,P0 - Critical,User back on Role page after eligibility update,2,Click on the 'Apply' button,Upload Resume page/modal opens. System prompts user to upload resume,N/A,Positive
TC-9.1,Upload Resume,Upload Resume and Complete Application,P0 - Critical,Upload Resume page/modal open,1,Verify Upload Resume page/modal is displayed,'Upload Resume' button or file input area is visible,N/A,Positive
TC-9.1,Upload Resume,Upload Resume and Complete Application,P0 - Critical,Upload Resume page/modal open,2,Click on 'Upload Resume' button,File picker dialog opens. User selects a resume file,Resume-File-Path,Positive
TC-9.1,Upload Resume,Upload Resume and Complete Application,P0 - Critical,Upload Resume page/modal open,3,Upload the resume file (PDF/DOC/DOCX),File is uploaded. Progress indicator or file name confirmation shown. File accepted,Resume-File-Path,Positive
TC-9.1,Upload Resume,Upload Resume and Complete Application,P0 - Critical,Upload Resume page/modal open,4,Click on the 'Apply' button,Application submitted. Green 'Applied Successfully' label is displayed,N/A,Positive
TC-9.1,Upload Resume,Upload Resume and Complete Application,P0 - Critical,Upload Resume page/modal open,5,Verify 'Applied Successfully' green label is visible,Label text 'Applied Successfully' is present in green color on the page,N/A,Positive
TC-9.1,Upload Resume,Upload Resume and Complete Application,P0 - Critical,Upload Resume page/modal open,6,Click on the 'Close' button,Modal closes. User returned to Roles or Applied Roles page. Role appears in application history,N/A,Positive
TC-10.1,E2E Flow,Complete Role Application via Single Category (Work Experience),P0 - Critical,Valid student account with Work Experience entry,1,Login with valid credentials (TC-1.1),Dashboard loaded successfully,Student-Email-ID / Student-PassWord,E2E
TC-10.1,E2E Flow,Complete Role Application via Single Category (Work Experience),P0 - Critical,Valid student account with Work Experience entry,2,Navigate to Roles page (TC-2.2),Roles page loaded,N/A,E2E
TC-10.1,E2E Flow,Complete Role Application via Single Category (Work Experience),P0 - Critical,Valid student account with Work Experience entry,3,Search role + Check Eligibility (TC-3.1 + TC-3.2),Eligibility page opens,Role-Name,E2E
TC-10.1,E2E Flow,Complete Role Application via Single Category (Work Experience),P0 - Critical,Valid student account with Work Experience entry,4,Navigate to Skills + Add Skill via Work Experience (TC-6.5),'Added Successfully' label verified,Skill-Category = Work Experience,E2E
TC-10.1,E2E Flow,Complete Role Application via Single Category (Work Experience),P0 - Critical,Valid student account with Work Experience entry,5,Update & Apply + Apply for role (TC-8.1),Upload Resume page opens,N/A,E2E
TC-10.1,E2E Flow,Complete Role Application via Single Category (Work Experience),P0 - Critical,Valid student account with Work Experience entry,6,Upload resume + Submit (TC-9.1),'Applied Successfully' green label verified. Application complete,Resume-File-Path,E2E
TC-10.2,E2E Flow,Complete Role Application via Multi-Category Selection,P0 - Critical,Valid student account with Academics + Work Experience,1,Login + Navigate to Roles + Search + Check Eligibility,Eligibility page opens,Student-Email-ID / Student-PassWord / Role-Name,E2E
TC-10.2,E2E Flow,Complete Role Application via Multi-Category Selection,P0 - Critical,Valid student account with Academics + Work Experience,2,Add Skill: Select Academics 10th + Work Experience checkboxes (TC-6.8),Both skills selected,Skill-Category = Academics + Work Experience,E2E
TC-10.2,E2E Flow,Complete Role Application via Multi-Category Selection,P0 - Critical,Valid student account with Academics + Work Experience,3,Click Add + Update & Apply + Apply for role,'Added Successfully' verified. Upload Resume page opens,N/A,E2E
TC-10.2,E2E Flow,Complete Role Application via Multi-Category Selection,P0 - Critical,Valid student account with Academics + Work Experience,4,Upload resume + Submit,'Applied Successfully' green label verified. Application complete,Resume-File-Path,E2E
TC-10.3,E2E Flow,Complete Role Application via Additional Skill Input + Category Selection,P0 - Critical,Valid student account with no Work Experience,1,Login + Navigate to Roles + Search + Check Eligibility + Open Add Skill,Add Skill page opens,Student-Email-ID / Student-PassWord / Role-Name,E2E
TC-10.3,E2E Flow,Complete Role Application via Additional Skill Input + Category Selection,P0 - Critical,Valid student account with no Work Experience,2,Click 'Add Work Experience' from Additional Skill Input. Fill form. Save. (TC-7.1),New entry created. Returned to Add Skill page,N/A,E2E
TC-10.3,E2E Flow,Complete Role Application via Additional Skill Input + Category Selection,P0 - Critical,Valid student account with no Work Experience,3,Select new Work Experience entry checkbox. Click Add.,'Added Successfully' verified,Skill-Category = Work Experience,E2E
TC-10.3,E2E Flow,Complete Role Application via Additional Skill Input + Category Selection,P0 - Critical,Valid student account with no Work Experience,4,Update & Apply + Apply + Upload Resume + Submit,'Applied Successfully' green label verified. Application complete,Resume-File-Path,E2E
TC-11.1,UI & Non-Functional,Dashboard Load Time After Login,P1 - High,User logged in,1,Observe time from login to Dashboard visible,Dashboard visible within 15 seconds,N/A,Performance
TC-11.2,UI & Non-Functional,Side Menu Highlight Active Page,P1 - High,User on any page,1,Click a side menu item and verify highlight,'Roles' highlighted on Roles page. 'Dashboard' highlighted on Dashboard,N/A,Positive
TC-11.3,UI & Non-Functional,Role Search Filters Results Dynamically,P1 - High,User on Roles page,1,Type partial role name in search bar,Search results update dynamically to show matching roles,Role-Name,Positive
TC-11.4,UI & Non-Functional,Skill Category Expand/Collapse Behavior,P1 - High,Add Skill page open,1,Click each skill category and verify expand/collapse,Academics shows 2 checkboxes (10th + 12th). Internship - Work Experience - Training Course - Project each show 1 checkbox,N/A,Positive
TC-11.5,UI & Non-Functional,Ant Design Dropdowns Searchable on Add Pages,P1 - High,Any Additional Skill Input page open,1,Click an Ant Design dropdown and type partial text,Dropdown filters and shows matching options,N/A,Positive
TC-11.6,UI & Non-Functional,Application Visible in Applied Roles,P1 - High,Application submitted successfully,1,Click 'Applied Roles' from side menu,Applied Roles page loads. Previously applied role is listed,N/A,Positive
